Line#,Quantity Per Part Number,Reference Designator,Part Number,Part Description,Package,Type,Manufacturers Name,Manufacturers Part Number,Distributors Part Number,Notes
1,1,U1,AQY212GS,"PhotoMOS solid-state relay, 1 Form A, 60 V / 1 A, 1500 Vrms isolation",SOP-4,SMD,Panasonic,AQY212GS,,Isolates ESP32 logic from the feeder supply. Pins 3/4 are a symmetric MOSFET pair - no polarity.
2,1,U2,LM1117MPX-ADJ/NOPB,"LDO regulator, adjustable, 800 mA",SOT-223,SMD,Texas Instruments,LM1117MPX-ADJ/NOPB,,Tab is VOUT. Set to 10.4 V by R4/R5.
3,1,D1,SS14-E3/61T,"Schottky rectifier, 40 V / 1 A",SMA (DO-214AC),SMD,Vishay,SS14-E3/61T,,"Reverse-polarity protection, in series with the 12 V input."
4,1,D2,SMAJ13A,"TVS diode, unidirectional, 13 V standoff, 400 W",SMA (DO-214AC),SMD,Littelfuse,SMAJ13A,,Input clamp. Standoff sits above the 12 V rail; cathode to +12 V.
5,1,D4,SMBJ13CA,"TVS diode, bidirectional, 13 V standoff, 600 W",SMB (DO-214AA),SMD,Littelfuse,SMBJ13CA,,Across the trigger pair at the jack. Bidirectional - no orientation.
6,1,D3,APT2012SGC,"LED, green, 2.2 V typ",0805,SMD,Kingbright,APT2012SGC,,10.4 V rail live indicator.
7,1,D5,APT2012SYCK,"LED, yellow, 2.0 V typ",0805,SMD,Kingbright,APT2012SYCK,,Lights while the trigger output is asserted.
8,1,F1,1206L010/60WR,"PPTC resettable fuse, 0.10 A hold / 0.25 A trip, 60 V",1206,SMD,Littelfuse,1206L010/60WR,,On the 12 V tap. Feeder supply can source 12.5 A.
9,1,C1,GRM31CR61H106KA12L,"Capacitor, 10 uF, 50 V, X5R",1206,SMD,Murata,GRM31CR61H106KA12L,,Regulator input bulk.
10,1,C2,T491B106K025AT,"Capacitor, tantalum, 10 uF, 25 V",EIA-3528 (case B),SMD,Kemet,T491B106K025AT,,Regulator output. Tantalum is required - the LM1117 needs output-cap ESR. POLARISED: + to the 10.4 V rail.
11,1,R1,RC0805FR-07220RL,"Resistor, 220 R, 1%, 1/8 W",0805,SMD,Yageo,RC0805FR-07220RL,,"PhotoMOS LED current set, ~9 mA from GPIO32."
12,1,R2,RC0805FR-0710KL,"Resistor, 10 k, 1%, 1/8 W",0805,SMD,Yageo,RC0805FR-0710KL,,GPIO32 pulldown - holds the PhotoMOS off at boot.
13,1,R3,RC0805FR-07100KL,"Resistor, 100 k, 1%, 1/8 W",0805,SMD,Yageo,RC0805FR-07100KL,,"Trigger-line bleed, guarantees the 0 V re-arm."
14,1,R4,RC0805FR-07121RL,"Resistor, 121 R, 1%, 1/8 W",0805,SMD,Yageo,RC0805FR-07121RL,,"LM1117 divider, VOUT to ADJ."
15,1,R5,RC0805FR-07887RL,"Resistor, 887 R, 1%, 1/8 W",0805,SMD,Yageo,RC0805FR-07887RL,,"LM1117 divider, ADJ to GND. Vout = 1.25*(1+887/121) + Iadj*887 = 10.47 V."
16,1,R6,RC0805FR-071KL,"Resistor, 1.0 k, 1%, 1/8 W",0805,SMD,Yageo,RC0805FR-071KL,,"D3 green LED series resistor. 8.2 mA - APT2012SGC is only 12 mcd at 20 mA, so it needs the current to be readable through the lid sight hole."
17,1,R7,RC0805FR-076K8L,"Resistor, 6.8 k, 1%, 1/8 W",0805,SMD,Yageo,RC0805FR-076K8L,,"D5 yellow LED series resistor. 1.2 mA - APT2012SYCK is 150 mcd at 20 mA, so it needs far less current than D3 to match it."
18,1,J1,PJ-079BH,"DC power jack, 5.5 x 2.5 mm, 2.5 mm centre pin, 24 V / 5 A",Right-angle THT,THT,Same Sky (CUI),PJ-079BH,,MUST be the 2.5 mm centre-pin part. Terminal 3 (switch) is unconnected.
19,1,J2,SJ1-3523N,"Audio jack, 3.5 mm, 3-conductor, right angle",THT,THT,Same Sky (CUI),SJ1-3523N,,Tip = trigger signal. Ring is tied to sleeve on the board.
20,2,"J3,J4",PPTC101LFBN-RC,"Socket header, 1x10, 2.54 mm, vertical",THT,THT,Sullins,PPTC101LFBN-RC,,Mates the Olimex ESP32-POE-ISO EXT1/EXT2 headers.
