Designator,Mid X (mm),Mid Y (mm),Layer,Rotation
C1,43.450,35.500,top,180.0
C2,49.350,26.000,top,180.0
D1,39.050,42.500,top,90.0
D2,39.050,33.500,top,270.0
D3,50.350,21.000,top,180.0
D4,40.750,4.000,top,0.0
D5,39.050,9.200,top,90.0
F1,40.350,48.000,top,180.0
R1,31.350,28.000,top,0.0
R2,22.850,27.890,top,0.0
R3,39.050,16.700,top,90.0
R4,53.850,27.000,top,180.0
R5,53.850,24.000,top,0.0
R6,46.850,21.000,top,0.0
R7,39.050,12.800,top,270.0
U1,34.850,23.000,top,0.0
U2,51.850,32.500,top,180.0
